Reach_ID,Node_ID,Time (dd-mm-yyyy),Q (m^3/s daily),Qu (m),D (m),Du (m),V (m/s),Vu (m/s)
74267400011,7.43E+13,19-09-2011',33.47858906,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,20-09-2011',28.44368553,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,21-09-2011',16.74942493,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,22-09-2011',16.00499153,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,23-09-2011',10.93974543,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,24-09-2011',11.54154778,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,25-09-2011',42.46692848,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,26-09-2011',45.22700882,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,27-09-2011',58.64580154,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,28-09-2011',55.61853027,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,29-09-2011',125.3654327,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,30-09-2011',146.3907623,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,01-10-2011',563.5516968,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,02/10/2011',641.7080383,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,03-10-2011',230.1239624,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,04-10-2011',222.4937363,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,05-10-2011',240.9112396,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,06-10-2011',220.9347839,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,07-10-2011',895.8866577,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,08-10-2011',827.1676636,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,09-10-2011',357.6306,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,10-10-2011',358.5228271,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,11-10-2011',1077.580078,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,12-10-2011',1264.883179,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,13-10-2011',1106.730957,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,14-10-2011',956.8843689,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,15-10-2011',987.4121094,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,16-10-2011',888.1751709,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,17-10-2011',47.11930466,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,18-10-2011',46.15363312,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,19-10-2011',68.23630524,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,20-10-2011',85.63061523,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,21-10-2011',128.8996162,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,22-10-2011',134.8496094,-9999,-9999,-9999,-9999,-9999
74267400011,7.43E+13,23-10-2011',51.87376785,-9999,-9999,-9999,-9999,-9999
,,,,,,,,
